noun_eng;noun_spa;gender;
line;línea;feminine;
team;equipo;masculine;
news;noticias;feminine;
captain;capitán;masculine;
hate;odio;masculine;
dog;perro;masculine;
food;comida;feminine;
light;luz;feminine;
country;país;masculine;
pick;elección;feminine;
fact;hecho;masculine;
black;negro;masculine;
boss;jefe;masculine;
cause;causa;feminine;
dinner;cena;feminine;
promise;promesa;feminine;
plan;plan;masculine;
sort;tipo;masculine;
book;libro;masculine;
hour;hora;feminine;
uncle;tío;masculine;
shoot;disparo;masculine;
touch;toque;masculine;
company;empresa;feminine;
past;pasado;masculine;
bitch;perra;feminine;
sound;sonido;masculine;
hair;pelo;masculine;
human;ser humano;masculine;
drive;conducción;feminine;
luck;suerte;feminine;
top;cima;feminine;
win;victoria;feminine;
control;control;masculine;
cold;frío;masculine;
air;aire;masculine;
master;maestro;masculine;
dance;baile;masculine;
sex;sexo;masculine;
hospital;hospital;masculine;
street;calle;feminine;
murder;asesinato;masculine;
lie;mentira;feminine;
dream;sueño;masculine;
catch;captura;feminine;
sense;sentido;masculine;
bet;apuesta;feminine;
voice;voz;feminine;
sign;señal;feminine;
quiet;silencio;masculine;
felt;sentimiento;masculine;
beat;latido;masculine;
return;regreso;masculine;
coffee;café;masculine;
date;cita;feminine;
pull;tirón;masculine;
secret;secreto;masculine;
fault;culpa;feminine;
fall;caída;feminine;
song;canción;feminine;
calm;calma;feminine;
road;camino;masculine;
drop;gota;feminine;
future;futuro;masculine;
throw;lanzamiento;masculine;
step;paso;masculine;
piece;pieza;feminine;
picture;imagen;feminine;
land;tierra;feminine;
wonder;maravilla;feminine;
worth;valor;masculine;
president;presidente;masculine;
eye;ojo;masculine;
dude;tipo;masculine;
state;estado;masculine;
figure;figura;feminine;
act;acto;masculine;
law;ley;feminine;
kiss;beso;masculine;
works;obras;feminine;
report;informe;masculine;
pain;dolor;masculine;
pass;pase;masculine;
wake;despertar;masculine;
general;general;masculine;
ship;barco;masculine;
choice;elección;feminine;
class;clase;feminine;
officer;oficial;masculine;
mistake;error;masculine;
chief;jefe;masculine;
age;edad;feminine;
mouth;boca;feminine;
finish;finalización;feminine;
clothes;ropa;feminine;
ride;paseo;masculine;
birthday;cumpleaños;masculine;
dark;oscuridad;feminine;
system;sistema;masculine;
film;película;feminine;
court;tribunal;masculine;
movie;película;feminine;
month;mes;masculine;
wear;uso;masculine;
train;tren;masculine;
hotel;hotel;masculine;
evidence;evidencia;feminine;
security;seguridad;feminine;
information;información;feminine;
bag;bolsa;feminine;
attack;ataque;masculine;
round;ronda;feminine;
blue;azul;masculine;
station;estación;feminine;
table;mesa;feminine;
message;mensaje;masculine;
history;historia;feminine;
floor;suelo;masculine;
sun;sol;masculine;
handle;mango;masculine;
army;ejército;masculine;
marriage;matrimonio;masculine;
letter;carta;feminine;
attention;atención;feminine;
peace;paz;feminine;
situation;situación;feminine;
middle;medio;masculine;
rock;roca;feminine;
test;prueba;feminine;
lead;liderazgo;masculine;
club;club;masculine;
fear;miedo;masculine;
present;regalo;masculine;
box;caja;feminine;
ball;pelota;feminine;
group;grupo;masculine;
boat;barco;masculine;
count;conteo;masculine;
bastard;bastardo;masculine;
crime;crimen;masculine;
key;llave;feminine;
force;fuerza;feminine;
horse;caballo;masculine;
lunch;almuerzo;masculine;
paper;papel;masculine;
charge;cargo;masculine;
surprise;sorpresa;feminine;
space;espacio;masculine;
fell;caída;feminine;
honor;honor;masculine;
accident;accidente;masculine;
fish;pez;masculine;
bar;bar;masculine;
ground;suelo;masculine;
government;gobierno;masculine;
bank;banco;masculine;
cover;cubierta;feminine;
major;mayor;masculine;
hide;escondite;masculine;
stick;palo;masculine;
sea;mar;masculine;
tea;té;masculine;
area;área;feminine;
dress;vestido;masculine;
service;servicio;masculine;
trip;viaje;masculine;
radio;radio;feminine;
blow;golpe;masculine;
star;estrella;feminine;
record;récord;masculine;
offer;oferta;feminine;
prison;prisión;feminine;
soul;alma;feminine;
list;lista;feminine;
gold;oro;masculine;
afternoon;tarde;feminine;
fix;arreglo;masculine;
respect;respeto;masculine;
public;público;masculine;
girlfriend;novia;feminine;
drunk;borracho;masculine;
brain;cerebro;masculine;
cell;célula;feminine;
mess;desorden;masculine;
smell;olor;masculine;
fly;mosca;feminine;
killer;asesino;masculine;
scene;escena;feminine;
card;tarjeta;feminine;
english;inglés;masculine;
church;iglesia;feminine;
ice;hielo;masculine;
window;ventana;feminine;
share;parte;feminine;
laugh;risa;feminine;
cry;llanto;masculine;
mum;mamá;feminine;
visit;visita;feminine;
seat;asiento;masculine;
relationship;relación;feminine;
pleasure;placer;masculine;
camera;cámara;feminine;
college;colegio;masculine;
position;posición;feminine;
sake;bien;masculine;
boyfriend;novio;masculine;
wall;pared;feminine;
private;privado;masculine;
stop;parada;feminine;
french;francés;masculine;
machine;máquina;feminine;
green;verde;masculine;
wine;vino;masculine;
apartment;apartamento;masculine;
village;pueblo;masculine;
congratulations;felicitaciones;feminine;
jail;cárcel;feminine;
joke;broma;feminine;
evil;mal;masculine;
field;campo;masculine;
contact;contacto;masculine;
store;tienda;feminine;
shop;comercio;masculine;
madam;señora;feminine;
doubt;duda;feminine;
plane;avión;masculine;
cash;efectivo;masculine;
island;isla;feminine;
decision;decisión;feminine;
beer;cerveza;feminine;
difference;diferencia;feminine;
push;empujón;masculine;
south;sur;masculine;
gift;regalo;masculine;
glass;vaso;masculine;
tree;árbol;masculine;
north;norte;masculine;
bus;autobús;masculine;
grab;agarre;masculine;
victim;víctima;feminine;
computer;computadora;feminine;
truck;camión;masculine;
reach;alcance;masculine;
board;tablero;masculine;
fat;grasa;feminine;
planet;planeta;masculine;
search;búsqueda;feminine;
wind;viento;masculine;
arrest;arresto;masculine;
jump;salto;masculine;
support;apoyo;masculine;
magic;magia;feminine;
crap;mierda;feminine;
kitchen;cocina;feminine;
summer;verano;masculine;
aunt;tía;feminine;
experience;experiencia;feminine;
heaven;cielo;masculine;
river;río;masculine;
knock;golpe;masculine;
escape;fuga;feminine;
address;dirección;feminine;
foot;pie;masculine;
moon;luna;feminine;
match;partido;masculine;
final;final;masculine;
smoke;humo;masculine;
blame;culpa;feminine;
press;prensa;feminine;
smile;sonrisa;feminine;
type;tipo;masculine;
mission;misión;feminine;
favor;favor;masculine;
action;acción;feminine;
duty;deber;masculine;
price;precio;masculine;
risk;riesgo;masculine;
notice;aviso;masculine;
kick;patada;feminine;
race;carrera;feminine;
suit;traje;masculine;
fit;ajuste;masculine;
spot;lugar;masculine;
cross;cruz;feminine;
arm;brazo;masculine;
upstairs;arriba;feminine;
chicken;pollo;masculine;
department;departamento;masculine;
hero;héroe;masculine;
gas;gas;masculine;
low;bajo;masculine;
leg;pierna;feminine;
taste;gusto;masculine;
waste;desperdicio;masculine;
west;oeste;masculine;
bunch;grupo;masculine;
battle;batalla;feminine;
study;estudio;masculine;
mention;mención;feminine;
bell;campana;feminine;
stage;escenario;masculine;
hole;agujero;masculine;
lock;cerradura;feminine;
weapon;arma;feminine;
energy;energía;feminine;
treat;trato;masculine;
burn;quemadura;feminine;
form;forma;feminine;
sky;cielo;masculine;
breakfast;desayuno;masculine;
band;banda;feminine;
track;pista;feminine;
spirit;espíritu;masculine;
nose;nariz;feminine;
memory;memoria;feminine;
laughter;risa;feminine;
roll;rollo;masculine;
bathroom;baño;masculine;
build;construcción;feminine;
bomb;bomba;feminine;
pressure;presión;feminine;
flight;vuelo;masculine;
interest;interés;masculine;
throat;garganta;feminine;
cost;costo;masculine;
danger;peligro;masculine;
neck;cuello;masculine;
bottle;botella;feminine;
beauty;belleza;feminine;
nature;naturaleza;feminine;
video;vídeo;masculine;
rain;lluvia;feminine;
camp;campamento;masculine;
shame;vergüenza;feminine;
bird;pájaro;masculine;
crowd;multitud;feminine;
level;nivel;masculine;
faith;fe;feminine;
engine;motor;masculine;
pop;pop;masculine;
animal;animal;masculine;
devil;diablo;masculine;
weekend;fin de semana;masculine;
stone;piedra;feminine;
sweetheart;cariño;masculine;
skin;piel;feminine;
knife;cuchillo;masculine;
drug;droga;feminine;
beach;playa;feminine;
hat;sombrero;masculine;
local;local;masculine;
code;código;masculine;
hall;sala;feminine;
opportunity;oportunidad;feminine;
bullshit;tonterías;feminine;
corner;esquina;feminine;
cup;taza;feminine;
justice;justicia;feminine;
bottom;fondo;masculine;
ghost;fantasma;masculine;
restaurant;restaurante;masculine;
language;lenguaje;masculine;
east;este;masculine;
fellow;compañero;masculine;
note;nota;feminine;
leader;líder;masculine;
health;salud;feminine;
angel;ángel;masculine;
rule;regla;feminine;
advice;consejo;masculine;
pardon;perdón;masculine;
milk;leche;feminine;
speed;velocidad;feminine;
file;archivo;masculine;
tape;cinta;feminine;
practice;práctica;feminine;
emergency;emergencia;feminine;
bridge;puente;masculine;
applause;aplauso;masculine;
conversation;conversación;feminine;
account;cuenta;feminine;
breath;aliento;masculine;
crew;tripulación;feminine;
meat;carne;feminine;
cake;pastel;masculine;
strength;fuerza;feminine;
career;carrera;feminine;
sight;vista;feminine;
vote;voto;masculine;
copy;copia;feminine;
nonsense;tontería;feminine;
trial;juicio;masculine;
freedom;libertad;feminine;
market;mercado;masculine;
size;tamaño;masculine;
operation;operación;feminine;
trick;truco;masculine;
sweetie;cielo;masculine;
pack;paquete;masculine;
monster;monstruo;masculine;
center;centro;masculine;
travel;viaje;masculine;
target;objetivo;masculine;
science;ciencia;feminine;
project;proyecto;masculine;
feed;alimentación;feminine;
credit;crédito;masculine;
suicide;suicidio;masculine;
investigation;investigación;feminine;
oil;aceite;masculine;
soldier;soldado;masculine;
shirt;camisa;feminine;
example;ejemplo;masculine;
strike;huelga;feminine;
chair;silla;feminine;
universe;universo;masculine;
command;comando;masculine;
condition;condición;feminine;
challenge;desafío;masculine;
ticket;boleto;masculine;
view;vista;feminine;
program;programa;masculine;
brown;marrón;masculine;
wash;lavado;masculine;
society;sociedad;feminine;
release;liberación;feminine;
birth;nacimiento;masculine;
research;investigación;feminine;
lift;ascensor;masculine;
opinion;opinión;feminine;
character;carácter;masculine;
mountain;montaña;feminine;
heat;calor;masculine;
tie;corbata;feminine;
sheriff;sheriff;masculine;
color;color;masculine;
sword;espada;feminine;
lab;laboratorio;masculine;
bullet;bala;feminine;
proof;prueba;feminine;
base;base;feminine;
cream;crema;feminine;
noise;ruido;masculine;
total;total;masculine;
gang;pandilla;feminine;
happiness;felicidad;feminine;
joy;alegría;feminine;
female;hembra;feminine;
male;macho;masculine;
bite;mordisco;masculine;
shower;ducha;feminine;
audience;audiencia;feminine;
purpose;propósito;masculine;
fate;destino;masculine;
screw;tornillo;masculine;
gentleman;caballero;masculine;
medicine;medicina;feminine;
responsibility;responsabilidad;feminine;
talk;charla;feminine;
split;división;feminine;
weight;peso;masculine;
unit;unidad;feminine;
pig;cerdo;masculine;
desk;escritorio;masculine;
finger;dedo;masculine;
pool;piscina;feminine;
focus;enfoque;masculine;
garden;jardín;masculine;
property;propiedad;feminine;
issue;asunto;masculine;
pal;amigo;masculine;
interview;entrevista;feminine;
signal;señal;feminine;
silence;silencio;masculine;
surgery;cirugía;feminine;
harm;daño;masculine;
staff;personal;masculine;
chef;chef;masculine;
weather;clima;masculine;
distance;distancia;feminine;
process;proceso;masculine;
season;estación;feminine;
access;acceso;masculine;
model;modelo;masculine;
path;camino;masculine;
russian;ruso;masculine;
member;miembro;masculine;
style;estilo;masculine;
alarm;alarma;feminine;
sugar;azúcar;masculine;
roof;techo;masculine;
funeral;funeral;masculine;
damage;daño;masculine;
stomach;estómago;masculine;
bread;pan;masculine;
snow;nieve;feminine;
castle;castillo;masculine;
speech;discurso;masculine;
block;bloque;masculine;
shake;temblor;masculine;
dig;excavación;feminine;
post;poste;masculine;
reality;realidad;feminine;
football;fútbol;masculine;
spread;extensión;feminine;
coat;abrigo;masculine;
chest;pecho;masculine;
success;éxito;masculine;
madame;madame;feminine;
safety;seguridad;feminine;
permission;permiso;masculine;
fancy;capricho;masculine;
theory;teoría;feminine;
journey;viaje;masculine;
paint;pintura;feminine;
mood;humor;masculine;
storm;tormenta;feminine;
page;página;feminine;
cheese;queso;masculine;
priest;sacerdote;masculine;
regret;arrepentimiento;masculine;
contract;contrato;masculine;
thief;ladrón;masculine;
divorce;divorcio;masculine;
lesson;lección;feminine;
community;comunidad;feminine;
subject;tema;masculine;
rent;alquiler;masculine;
revenge;venganza;feminine;
trade;comercio;masculine;
forest;bosque;masculine;
rush;prisa;feminine;
amount;cantidad;feminine;
pocket;bolsillo;masculine;
cancer;cáncer;masculine;
pair;par;masculine;
ruin;ruina;feminine;
grandfather;abuelo;masculine;
bike;bicicleta;feminine;
loss;pérdida;feminine;
winter;invierno;masculine;
farm;granja;feminine;
tongue;lengua;feminine;
toilet;baño;masculine;
genius;genio;masculine;
square;plaza;feminine;
connection;conexión;feminine;
downstairs;planta baja;feminine;
bedroom;habitación;feminine;
tour;gira;feminine;
silver;plata;feminine;
pity;lástima;feminine;
clock;reloj;masculine;
ocean;océano;masculine;
dna;ADN;masculine;
crash;choque;masculine;
bath;baño;masculine;
fortune;fortuna;feminine;
century;siglo;masculine;
insurance;seguro;masculine;
airport;aeropuerto;masculine;
temple;templo;masculine;
knowledge;conocimiento;masculine;
map;mapa;masculine;
competition;competencia;feminine;
defense;defensa;feminine;
goodness;bondad;feminine;
event;evento;masculine;
period;período;masculine;
shape;forma;feminine;
hell;infierno;masculine;
telephone;teléfono;masculine;
request;solicitud;feminine;
grant;subvención;feminine;
affair;asunto;masculine;
grave;tumba;feminine;
plant;planta;feminine;
site;sitio;masculine;
statement;declaración;feminine;
rise;ascenso;masculine;
jacket;chaqueta;feminine;
mercy;misericordia;feminine;
whore;prostituta;feminine;
switch;interruptor;masculine;
meal;comida;feminine;
direction;dirección;feminine;
data;dato;masculine;
horn;cuerno;masculine;
attorney;abogado;masculine;
rat;rata;feminine;
pizza;pizza;feminine;
shock;choque;masculine;
soup;sopa;feminine;
courage;valor;masculine;
yellow;amarillo;masculine;
location;ubicación;feminine;
chocolate;chocolate;masculine;
image;imagen;feminine;
taxi;taxi;masculine;
piss;orín;masculine;
wound;herida;feminine;
plate;plato;masculine;
television;televisión;feminine;
freak;bicho raro;masculine;
traffic;tráfico;masculine;
dawn;amanecer;masculine;
poison;veneno;masculine;
mystery;misterio;masculine;
bang;estruendo;masculine;
disease;enfermedad;feminine;
role;papel;masculine;
butt;trasero;masculine;
victory;victoria;feminine;
trap;trampa;feminine;
nation;nación;feminine;
desire;deseo;masculine;
midnight;medianoche;feminine;
jury;jurado;masculine;
appointment;cita;feminine;
swim;natación;feminine;
mail;correo;masculine;
vacation;vacaciones;feminine;
source;fuente;feminine;
factory;fábrica;feminine;
palace;palacio;masculine;
crack;grieta;feminine;
talent;talento;masculine;
neighborhood;vecindario;masculine;
threat;amenaza;feminine;
ear;oreja;feminine;
miracle;milagro;masculine;
grandmother;abuela;feminine;
firm;empresa;feminine;
license;licencia;feminine;
advantage;ventaja;feminine;
monkey;mono;masculine;
mirror;espejo;masculine;
wood;madera;feminine;
union;sindicato;masculine;
violence;violencia;feminine;
protection;protección;feminine;
hook;gancho;masculine;
motherfucker;hijo de puta;masculine;
concern;preocupación;feminine;
effect;efecto;masculine;
studio;estudio;masculine;
load;carga;feminine;
treasure;tesoro;masculine;
spell;hechizo;masculine;
iron;hierro;masculine;
rescue;rescate;masculine;
treatment;tratamiento;masculine;
desert;desierto;masculine;
result;resultado;masculine;
piano;piano;masculine;
friendship;amistad;feminine;
candy;caramelo;masculine;
bride;novia;feminine;
flower;flor;feminine;
bone;hueso;masculine;
value;valor;masculine;
junior;junior;masculine;
remains;restos;masculine;
metal;metal;masculine;
tip;propina;feminine;
holiday;vacaciones;feminine;
rate;tasa;feminine;
performance;rendimiento;masculine;
governor;gobernador;masculine;
vehicle;vehículo;masculine;
toast;brindis;masculine;
pride;orgullo;masculine;
champagne;champán;masculine;
uniform;uniforme;masculine;
tear;lágrima;feminine;
cab;taxi;masculine;
presence;presencia;feminine;
scream;grito;masculine;
dust;polvo;masculine;
edge;borde;masculine;
witch;bruja;feminine;
media;medios;masculine;
claim;reclamación;feminine;
rice;arroz;masculine;
egg;huevo;masculine;
punch;puñetazo;masculine;
cast;reparto;masculine;
intelligence;inteligencia;feminine;
cow;vaca;feminine;
surface;superficie;feminine;
cigarette;cigarrillo;masculine;
destiny;destino;masculine;
score;puntuación;feminine;
technology;tecnología;feminine;
dragon;dragón;masculine;
sin;pecado;masculine;
emperor;emperador;masculine;
goal;meta;feminine;
youth;juventud;feminine;
pot;olla;feminine;
wolf;lobo;masculine;
boom;estruendo;masculine;
row;fila;feminine;
section;sección;feminine;
dump;vertedero;masculine;
text;texto;masculine;
prisoner;prisionero;masculine;
zero;cero;masculine;
wheel;rueda;feminine;
exchange;intercambio;masculine;
coast;costa;feminine;
grade;nota;feminine;
grade;grado;masculine;
shift;turno;masculine;
cure;cura;feminine;
sacrifice;sacrificio;masculine;
beast;bestia;feminine;
pie;pastel;masculine;
material;material;masculine;
creature;criatura;feminine;
trace;rastro;masculine;
button;botón;masculine;
darkness;oscuridad;feminine;
ambulance;ambulancia;feminine;
internet;internet;masculine;
range;rango;masculine;
freeze;congelación;feminine;
sale;venta;feminine;
juice;zumo;masculine;
solution;solución;feminine;
tower;torre;feminine;
mass;masa;feminine;
alien;extraterrestre;masculine;
schedule;horario;masculine;
stairs;escaleras;feminine;
fruit;fruta;feminine;
garage;garaje;masculine;
anger;ira;feminine;
clue;pista;feminine;
magazine;revista;feminine;
zone;zona;feminine;
shoulder;hombro;masculine;
progress;progreso;masculine;
snake;serpiente;feminine;
effort;esfuerzo;masculine;
elevator;ascensor;masculine;
sentence;sentencia;feminine;
equipment;equipo;masculine;
attitude;actitud;feminine;
newspaper;periódico;masculine;
warrant;orden de arresto;feminine;
loser;perdedor;masculine;
series;serie;feminine;
vision;visión;feminine;
actor;actor;masculine;
curse;maldición;feminine;
shadow;sombra;feminine;
passion;pasión;feminine;
route;ruta;feminine;
explosion;explosión;feminine;
squad;escuadrón;masculine;
kingdom;reino;masculine;
screen;pantalla;feminine;
fashion;moda;feminine;
wave;ola;feminine;
climb;escalada;feminine;
pen;pluma;feminine;
incident;incidente;masculine;
bull;toro;masculine;
chain;cadena;feminine;
device;dispositivo;masculine;
debt;deuda;feminine;
campaign;campaña;feminine;
hug;abrazo;masculine;
alcohol;alcohol;masculine;
conference;conferencia;feminine;
education;educación;feminine;
politics;política;feminine;
rape;violación;feminine;
mummy;momia;feminine;
border;frontera;feminine;
wire;cable;masculine;
prize;premio;masculine;
circle;círculo;masculine;
object;objeto;masculine;
robbery;robo;masculine;
thunder;trueno;masculine;
rope;cuerda;feminine;
salt;sal;feminine;
flesh;carne;feminine;
trash;basura;feminine;
reward;recompensa;feminine;
glory;gloria;feminine;
authority;autoridad;feminine;
estate;propiedad;feminine;
yard;patio;masculine;
tank;tanque;masculine;
confidence;confianza;feminine;
lack;falta;feminine;
apple;manzana;feminine;
approach;acercamiento;masculine;
chick;pollito;masculine;
doll;muñeca;feminine;
duck;pato;masculine;
stock;acciones;feminine;
library;biblioteca;feminine;
failure;fracaso;masculine;
movement;movimiento;masculine;
bow;arco;masculine;
tail;cola;feminine;
senator;senador;masculine;
nightmare;pesadilla;feminine;
theater;teatro;masculine;
sand;arena;feminine;
reputation;reputación;feminine;
slip;resbalón;masculine;
pink;rosa (color);masculine;
maid;criada;feminine;
maid;criada;feminine;
agency;agencia;feminine;
childhood;infancia;feminine;
opposite;opuesto;masculine;
policy;política;feminine;
panic;pánico;masculine;
design;diseño;masculine;
chat;charla;feminine;
task;tarea;feminine;
chatter;cháchara;feminine;
belt;cinturón;masculine;
guarantee;garantía;feminine;
current;corriente;feminine;
garbage;basura;feminine;
custody;custodia;feminine;
demon;demonio;masculine;
coincidence;coincidencia;feminine;
attempt;intento;masculine;
revolution;revolución;feminine;
agreement;acuerdo;masculine;
empire;imperio;masculine;
disaster;desastre;masculine;
advance;avance;masculine;
guitar;guitarra;feminine;
detail;detalle;masculine;
behavior;comportamiento;masculine;
delivery;entrega;feminine;
ability;habilidad;feminine;
district;distrito;masculine;
shoe;zapato;masculine;
hunter;cazador;masculine;
culture;cultura;feminine;
explanation;explicación;feminine;
committee;comité;masculine;
background;antecedente;masculine;
identity;identidad;feminine;
channel;canal;masculine;
bound;límite;masculine;
species;especie;feminine;
struggle;lucha;feminine;
mask;máscara;feminine;
fever;fiebre;feminine;
loan;préstamo;masculine;
whistle;silbato;masculine;
punishment;castigo;masculine;
production;producción;feminine;
capital;capital;masculine;
potential;potencial;masculine;
quarter;cuarto;masculine;
quarter;trimestre;masculine;
bowl;tazón;masculine;
museum;museo;masculine;
cheer;porra;feminine;
dish;plato;masculine;
gunshot;disparo;masculine;
closet;armario;masculine;
dirt;suciedad;feminine;
crown;corona;feminine;
shout;grito;masculine;
fella;tipo;masculine;
couch;sofá;masculine;
demand;demanda;feminine;
transfer;transferencia;feminine;
joint;junta;feminine;
episode;episodio;masculine;
basement;sótano;masculine;
roman;romano;masculine;
article;artículo;masculine;
guide;guía;feminine;
sandwich;sándwich;masculine;
flash;destello;masculine;
wallet;cartera;feminine;
quality;calidad;feminine;
concert;concierto;masculine;
lane;carril;masculine;
baseball;béisbol;masculine;
title;título;masculine;
pee;pis (slang);masculine;
charity;caridad;feminine;
drama;drama;masculine;
ceremony;ceremonia;feminine;
package;paquete;masculine;
shine;brillo;masculine;
comrade;camarada;masculine;
supply;suministro;masculine;
tone;tono;masculine;
sweat;sudor;masculine;
possibility;posibilidad;feminine;
flag;bandera;feminine;
plastic;plástico;masculine;
gear;equipo;masculine;
gear;marcha de coche;feminine;
surrender;rendición;feminine;
impression;impresión;feminine;
self;yo;masculine;
bust;busto;masculine;
servant;sirviente;masculine;
gym;gimnasio;masculine;
assault;asalto;masculine;
trail;sendero;masculine;
crisis;crisis;feminine;
collection;colección;feminine;
diamond;diamante;masculine;
bible;biblia;feminine;
league;liga;feminine;
orange;naranja;feminine;
imagination;imaginación;feminine;
blast;explosión;feminine;
balance;equilibrio;masculine;
golf;golf;masculine;
defeat;derrota;feminine;
theme;tema;masculine;
comfort;comodidad;feminine;
reaction;reacción;feminine;
legend;leyenda;feminine;
grass;césped;masculine;
print;impresión;feminine;
virus;virus;masculine;
launch;lanzamiento;masculine;
siren;sirena;feminine;
entrance;entrada;feminine;
religion;religión;feminine;
butter;mantequilla;feminine;
homework;tarea;feminine;
stress;estrés;masculine;
cap;gorra;feminine;
bat;murciélago;masculine;
mix;mezcla;feminine;
torture;tortura;feminine;
deck;cubierta;feminine;
rabbit;conejo;masculine;
option;opción;feminine;
accent;acento;masculine;
tax;impuesto;masculine;
rip;desgarro;masculine;
bud;brote;masculine;
therapy;terapia;feminine;
lifetime;vida, existencia;feminine;
crush;aplastamiento;masculine;
skull;cráneo;masculine;
version;versión;feminine;
fuel;combustible;masculine;
term;término;masculine;
bond;bono, vínculo;masculine;
plain;llanura;feminine;
experiment;experimento;masculine;
monk;monje;masculine;
lion;león;masculine;
lad;muchacho;masculine;
exercise;ejercicio;masculine;
purse;monedero;masculine;
cave;cueva;feminine;
standard;estándar;masculine;
tunnel;túnel;masculine;
steel;acero;masculine;
division;división;feminine;
sheep;oveja;feminine;
classic;clásico;masculine;
nephew;sobrino;masculine;
sauce;salsa;feminine;
influence;influencia;feminine;
network;red;feminine;
contest;concurso;masculine;
cabin;cabaña;feminine;
jungle;jungla;feminine;
vampire;vampiro;masculine;
exit;salida;feminine;
spit;escupitajo;masculine;
generation;generación;feminine;
crystal;cristal;masculine;
status;estatus;masculine;
degree;grado;masculine;
buck;dólar;masculine;
buck;venado;masculine;
brand;marca;feminine;
toy;juguete;masculine;
scratch;rasguño;masculine;
tribe;tribu;feminine;
script;guion;masculine;
nerve;nervio;masculine;
seal;sello;masculine;
response;respuesta;feminine;
surveillance;vigilancia;feminine;
gain;ganancia;feminine;
clinic;clínica;feminine;
patience;paciencia;feminine;
traitor;traidor;masculine;
hail;granizo;masculine;
port;puerto;masculine;
beef;carne de res;feminine;
routine;rutina;feminine;
outfit;atuendo;masculine;
confession;confesión;feminine;
ease;facilidad;feminine;
deputy;subalterno;masculine;
link;enlace;masculine;
industry;industria;feminine;
costume;disfraz;masculine;
argument;argumento;masculine;
motion;movimiento;masculine;
construction;construcción;feminine;
aim;objetivo;masculine;
pattern;patrón;masculine;
nail;clavo;masculine;
electricity;electricidad;feminine;
warrior;guerrero;masculine;
fairy;hada;feminine;
anniversary;aniversario;masculine;
temperature;temperatura;feminine;
booth;caseta;feminine;
pet;mascota;feminine;
sport;deporte;masculine;
bail;fianza;feminine;
interrupt;interrupción;feminine;
tune;melodía;feminine;
prayer;oración;feminine;
conscience;conciencia;feminine;
headquarters;cuartel general;masculine;
cock;gallo;masculine;
chip;chip;masculine;
guilt;culpa;feminine;
chill;escalofrío;masculine;
mouse;ratón;masculine;
dealer;distribuidor;masculine;
